category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2023-07-30T14:13:17+00:00,2,BLACK AND WHITE,37,1216,BLACK AND WHITE FLAG FOR CAR 2 (SAR) - TRACK LIMITS,Driver,,9141
Flag,2023-08-27T13:41:15+00:00,20,BLACK AND WHITE,25,1217,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - MOVING UNDER BRAKING,Driver,,9149
Flag,2023-08-27T13:45:41+00:00,22,BLACK AND WHITE,29,1217,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - FORCING ANOTHER DRIVER OFF THE TRACK,Driver,,9149
Flag,2023-09-02T11:10:41+00:00,24,BLACK AND WHITE,,1218,BLACK AND WHITE FLAG FOR CAR 24 (ZHO) - IMPEDING,Driver,,9152
Flag,2023-09-02T11:30:01+00:00,55,BLACK AND WHITE,,1218,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - IMPEDING,Driver,,9152
Flag,2023-09-16T10:10:08+00:00,77,BLACK AND WHITE,,1219,BLACK AND WHITE FLAG FOR CAR 77 (BOT) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9160
Flag,2023-09-17T12:49:48+00:00,20,BLACK AND WHITE,26,1219,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - FORCING ANOTHER DRIVER OFF THE TRACK,Driver,,9165
Flag,2023-10-07T18:13:29+00:00,18,BLACK AND WHITE,19,1221,BLACK AND WHITE FLAG FOR CAR 18 (STR) - TRACK LIMITS,Driver,,9220
Flag,2023-10-07T18:13:35+00:00,16,BLACK AND WHITE,19,1221,BLACK AND WHITE FLAG FOR CAR 16 (LEC) - TRACK LIMITS,Driver,,9220
Flag,2023-10-08T17:24:15+00:00,40,BLACK AND WHITE,12,1221,BLACK AND WHITE FLAG FOR CAR 40 (LAW) - TRACK LIMITS,Driver,,9221
Flag,2023-10-08T17:39:51+00:00,23,BLACK AND WHITE,22,1221,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,Driver,,9221
Flag,2023-10-08T17:42:34+00:00,11,BLACK AND WHITE,24,1221,BLACK AND WHITE FLAG FOR CAR 11 (PER) - TRACK LIMITS,Driver,,9221
Flag,2023-10-08T17:50:25+00:00,10,BLACK AND WHITE,30,1221,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - TRACK LIMITS,Driver,,9221
Flag,2023-10-08T18:06:17+00:00,18,BLACK AND WHITE,40,1221,BLACK AND WHITE FLAG FOR CAR 18 (STR) - TRACK LIMITS,Driver,,9221
Flag,2023-10-08T18:29:16+00:00,63,BLACK AND WHITE,56,1221,BLACK AND WHITE FLAG FOR CAR 63 (RUS) - TRACK LIMITS,Driver,,9221
Flag,2023-10-21T22:17:31+00:00,81,BLACK AND WHITE,9,1222,BLACK AND WHITE FLAG FOR CAR 81 (PIA) - TRACK LIMITS,Driver,,9212
Flag,2023-10-22T19:44:17+00:00,20,BLACK AND WHITE,24,1222,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,Driver,,9213
Flag,2023-10-22T20:15:17+00:00,2,BLACK AND WHITE,42,1222,BLACK AND WHITE FLAG FOR CAR 2 (SAR) - TRACK LIMITS,Driver,,9213
Flag,2023-10-22T20:29:56+00:00,23,BLACK AND WHITE,51,1222,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,Driver,,9213
Flag,2023-10-22T20:39:35+00:00,44,BLACK AND WHITE,56,1222,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - TRACK LIMITS,Driver,,9213
Flag,2023-11-17T10:49:34+00:00,10,BLACK AND WHITE,,1225,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9183
Flag,2023-11-17T10:55:28+00:00,2,BLACK AND WHITE,,1225,BLACK AND WHITE FLAG FOR CAR 2 (SAR) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9183
Flag,2023-11-17T11:10:43+00:00,27,BLACK AND WHITE,,1225,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9183
Flag,2023-11-17T12:01:25+00:00,77,BLACK AND WHITE,,1225,BLACK AND WHITE FLAG FOR CAR 77 (BOT) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9183
Flag,2023-11-18T05:09:57+00:00,22,BLACK AND WHITE,,1225,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9184
Flag,2023-11-26T13:59:59+00:00,23,BLACK AND WHITE,38,1226,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,Driver,,9197
