brake,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
0,1,1,1258,1,3229,10022,5,0,1745166036339
0,1,1,1258,1,3320,10022,7,0,1745166036578
0,1,1,1258,1,3474,10022,8,0,1745166036858
0,1,1,1258,1,3754,10022,11,0,1745166037058
0,1,1,1258,1,3461,10022,11,0,1745166037258
0,1,1,1258,1,3423,10022,12,0,1745166037498
0,1,1,1258,1,3524,10022,12,0,1745166037738
0,1,1,1258,1,3370,10022,13,0,1745166038018
0,1,1,1258,1,4056,10022,15,0,1745166038378
0,1,1,1258,1,4130,10022,15,0,1745166038538
0,1,1,1258,1,4085,10022,14,0,1745166038778
0,1,1,1258,1,3855,10022,14,0,1745166039058
0,1,1,1258,1,3972,10022,14,0,1745166039218
100,1,1,1258,1,4030,10022,14,0,1745166039458
100,1,1,1258,1,3794,10022,14,0,1745166039658
100,1,1,1258,1,3852,10022,13,0,1745166039898
100,1,1,1258,1,3738,10022,11,0,1745166040218
100,1,1,1258,1,3637,10022,10,0,1745166040499
100,1,1,1258,1,3683,10022,10,0,1745166040739
100,1,1,1258,1,3603,10022,9,0,1745166040939
100,1,1,1258,1,3554,10022,9,0,1745166041179
0,1,1,1258,1,3570,10022,8,0,1745166041459
0,1,1,1258,1,3559,10022,8,0,1745166041619
0,1,1,1258,1,3628,10022,8,0,1745166041939
0,1,1,1258,1,3261,10022,7,0,1745166042179
0,1,1,1258,1,3151,10022,8,0,1745166042499
0,1,1,1258,1,3169,10022,9,0,1745166042739
0,1,1,1258,1,3343,10022,10,0,1745166042979
0,1,1,1258,1,3185,10022,12,0,1745166043138
0,1,1,1258,1,3375,10022,14,0,1745166043378
0,1,1,1258,1,3506,10022,18,0,1745166043698
0,1,1,1258,1,3270,10022,20,0,1745166043938
0,1,1,1258,1,2997,10022,24,0,1745166044258
0,1,1,1258,1,3343,10022,27,0,1745166044458
0,1,1,1258,1,3478,10022,30,6,1745166044658
0,1,1,1258,1,4141,10022,33,12,1745166044858
0,1,1,1258,1,4983,10022,40,17,1745166045138
0,1,1,1258,1,5548,10022,46,18,1745166045338
0,1,1,1258,1,6371,10022,54,20,1745166045658
0,1,1,1258,1,6649,10022,58,20,1745166045818
0,1,1,1258,1,7149,10022,64,21,1745166046098
0,1,1,1258,1,7581,10022,66,22,1745166046258
0,1,1,1258,1,8172,10022,71,22,1745166046578
0,1,1,1258,1,8480,10022,74,21,1745166046778
100,1,1,1258,1,7991,10022,78,0,1745166046979
100,1,1,1258,1,8131,10022,76,0,1745166047219
0,1,1,1258,1,8466,10022,75,13,1745166047619
0,1,1,1258,1,8515,10022,77,15,1745166047819
0,1,1,1258,1,8702,10022,79,23,1745166048219
0,1,1,1258,1,8728,10022,79,23,1745166048659
0,1,1,1258,1,8614,10022,80,23,1745166048899
0,1,1,1258,1,8204,10022,80,23,1745166049818
0,1,1,1258,2,6992,10022,80,28,1745166050138
0,1,1,1258,2,6891,10022,80,27,1745166050498
0,1,1,1258,2,6958,10022,80,27,1745166050738
